construction,link,panels,K_median,K_max,d_median,completeness_mean,share_median,share_p90,frac_share_gt_0.05,frac_share_gt_0.2,condorcet_rate,cyclic_without_condorcet,sst_violation_mean,a_median,norm_u_median,L_C_median,C_norm2_median,omega_uniform_median,omega_uniform_p90,fact_bounds_hold
votes,identity,1,63.0,63,62.0,0.6395289298515104,0.6667954135906861,0.6667954135906861,1.0,1.0,1.0,0.0,0.668706630686199,0.5,0.5046955611362114,0.5295480169101365,2.862426359468618,0.0454353390391844,0.0454353390391844,True
votes_smoothed,identity,1,63.0,63,62.0,0.6395289298515104,0.6232948176685119,0.6232948176685119,1.0,1.0,1.0,0.0,0.6688511950655358,0.4649122807017544,0.4544935002587018,0.3747629929124862,2.56008106223114,0.0406362073370022,0.0406362073370022,True
votes_smoothed,logit,1,63.0,63,62.0,0.6395289298515104,0.6292938442191601,0.6292938442191601,1.0,1.0,1.0,0.0,0.6688511950655358,3.3141860046725258,2.0703761600579833,1.9297339482128917,11.772353766345718,0.1868627581959638,0.1868627581959638,True
