construction,link,panels,K_median,K_max,d_median,completeness_mean,share_median,share_p90,frac_share_gt_0.05,frac_share_gt_0.2,condorcet_rate,cyclic_without_condorcet,sst_violation_mean,a_median,norm_u_median,L_C_median,C_norm2_median,omega_uniform_median,omega_uniform_p90,fact_bounds_hold
single_score_hard,identity,8321,4.0,8,3.0,1.0,0.1,0.1666666666666666,0.8166085806994352,0.0003605335897127,0.0,0.8166085806994352,0.0,0.5,0.5303300858899106,0.1875,0.3535533905932738,0.0883883476483184,0.125,True
single_score_bt,identity,8321,4.0,8,3.0,1.0,0.0002700853055489,0.0038501143989752,0.0,0.0,0.0,0.0,0.0,0.1899744811276125,0.1676148827104817,0.0028978564755472,0.0048571599073104,0.0012142899768276,0.0088227422993924,True
single_score_bt,logit,8321,4.0,8,3.0,1.0,1.6049416203226967e-32,4.516305719588068e-32,0.0,0.0,0.0,0.0,0.0,0.8000000000000003,0.7118052168020875,1.1102230246251563e-16,1.9229626863835638e-16,4.807406715958911e-17,1.1446143385409294e-16,True
attribute_vote,identity,8321,4.0,8,3.0,1.0,0.01010101010101,0.0643564356435643,0.1581540680206705,0.0078115611104434,0.0,0.1581540680206705,0.0622106179492819,0.4,0.2872281323269014,0.0374999999999999,0.0707106781186547,0.0176776695296636,0.0467707173346742,True
attribute_vote_smoothed,logit,8321,4.0,8,3.0,1.0,0.0090582062066359,0.0611335055457733,0.1458959259704362,0.0080519168369186,0.0,0.1458959259704362,0.0622106179492819,1.6094379124341005,1.0635635363632157,0.126177088732955,0.2379218001958642,0.0594804500489661,0.1679553306064443,True
attribute_bt,identity,8321,4.0,8,3.0,1.0,0.0010746794755567,0.0089594910684758,0.0022833794015142,0.0003605335897127,0.0,0.0022833794015142,0.0417768387425931,0.1848468629040039,0.1515152424878857,0.0060990059461595,0.0115003959014039,0.0028750989753509,0.0103663167776619,True
attribute_bt,logit,8321,4.0,8,3.0,1.0,0.0004385416986031,0.0056560097170384,0.0022833794015142,0.0003605335897127,0.0,0.0022833794015142,0.0417768387425931,0.7761365852607374,0.6319701546152529,0.0198894912669518,0.0333807829648501,0.0088915968758898,0.029270187398331,True
