construction,link,panels,K_median,K_max,d_median,completeness_mean,share_median,share_p90,frac_share_gt_0.05,frac_share_gt_0.2,condorcet_rate,cyclic_without_condorcet,sst_violation_mean,a_median,norm_u_median,L_C_median,C_norm2_median,omega_uniform_median,omega_uniform_p90,fact_bounds_hold
single_score_hard,identity,8321,4.0,8,3.0,1.0,0.1,0.1666666666666666,0.7178223771181348,0.0,0.0,0.7178223771181348,0.0,0.5,0.5303300858899106,0.1875,0.3535533905932737,0.0883883476483184,0.125,True
single_score_bt,identity,8321,4.0,8,3.0,1.0,0.0006339190161394,0.0083584825324266,0.0,0.0,0.0,0.0,0.0,0.2310585786300049,0.2032264382650191,0.0046004987242976,0.008674783586109,0.0021686958965272,0.0156500565546859,True
single_score_bt,logit,8321,4.0,8,3.0,1.0,3.200006676828023e-33,1.9553038399419188e-32,0.0,0.0,0.0,0.0,0.0,1.0,0.8660254037844386,5.551115123125783e-17,1.1102230246251563e-16,2.7755575615628914e-17,1.0764136808233468e-16,True
attribute_vote,identity,8321,4.0,8,3.0,1.0,5.54667823983524e-32,0.0853658536585365,0.2137964186996755,0.0025237351279894,0.0,0.2137964186996755,0.0185786201627387,0.5,0.3952847075210474,5.551115123125783e-17,1.0002763816157268e-16,3.204937810639273e-17,0.0641500299099584,True
attribute_vote_smoothed,logit,8321,4.0,8,3.0,1.0,0.0084206838590771,0.0807695456532682,0.1355606297320033,0.0027640908544646,0.0,0.1355606297320033,0.0185786201627387,1.945910149055313,1.424548767129782,0.1261770887329548,0.2379218001958642,0.0610165366595498,0.2114280335325213,True
attribute_bt,identity,8321,4.0,8,3.0,1.0,1.8004287945793934e-31,0.009688748441976,0.0002403557264751,0.0,0.0,0.0002403557264751,0.0141283767350869,0.2310585786300049,0.2001025988559084,9.020562075079396e-17,1.8515278288508872e-16,4.628819572127218e-17,0.015140636176607,True
attribute_bt,logit,8321,4.0,8,3.0,1.0,0.0001771924518901,0.0026592323283074,0.0001201778632375,0.0,0.0,0.0001201778632375,0.0141283767350869,1.0,0.8523776819377334,0.0168502858418949,0.0312449532556662,0.0079433009224904,0.0272856066888694,True
