alpha,beta_lambda,panels,label,tail_tv_max,tail_tv_min,rate,prompt_entropy_median,top_label,label_shuffled,rate_shuffled
0.5,1.0,6692,converged,5.6062778780104e-17,5.6062778780104e-17,0.5013203973672282,1.2144410121168436,longest,converged,0.49996787517415353
0.5,10.0,6692,converged,0.0,0.0,0.500004682666789,0.03859893051604355,longest,converged,0.49947941326063594
0.9,1.0,6692,converged,0.0,0.0,0.9000880997836878,0.2988143603624713,longest,converged,0.8999665281402793
0.9,10.0,6692,converged,0.0,0.0,,1.5982388728066384e-08,longest,converged,0.8984175430121835
0.99,1.0,6692,converged,0.0,0.0,0.9343427816408562,1.4510828803374553e-09,longest,slow or intermittent,
0.99,10.0,6692,converged,7.826259524172861e-109,2.6079085063855617e-110,,2.7577401629998944e-106,longest,slow or intermittent,0.984305155382212
